,status_group
12873,functional
12878,non functional
12880,non functional
12881,non functional
12884,functional
12885,functional
12888,functional
12889,functional needs repair
12890,functional
12891,functional
12894,functional needs repair
12896,non functional
12897,functional
12898,functional
12899,functional needs repair
12902,functional
12903,functional
12905,non functional
12907,non functional
12908,functional
12913,functional
12914,functional needs repair
12915,functional
12917,functional needs repair
12918,functional
12919,non functional
12920,non functional
12926,functional
12927,non functional
12931,functional
12932,functional
12934,non functional
12936,functional needs repair
12942,functional
12944,functional
12945,functional
12949,functional
12950,functional
12951,functional
12953,non functional
12954,functional needs repair
12956,functional
12963,functional
12965,functional
12966,functional
12967,functional
12968,non functional
12969,non functional
12970,functional
12971,non functional
12974,non functional
12975,non functional
12976,functional
12981,functional needs repair
12982,non functional
12983,functional
12984,functional
12985,functional
12986,functional
12988,functional
12989,functional
12990,functional
12997,functional
13000,functional
13003,functional
13005,functional
13006,functional
13007,functional
13008,functional
13010,functional
13011,functional
13012,functional
13014,functional
13016,non functional
13017,functional
13020,non functional
13021,functional
13023,functional
13026,functional
13028,functional needs repair
13030,functional needs repair
13033,non functional
13037,functional
13041,functional
13044,non functional
13045,functional
13047,functional
13048,functional needs repair
13050,functional
13051,non functional
13052,functional
13056,functional
13058,functional
13059,non functional
13063,functional
13064,functional
13067,non functional
13068,functional
13070,functional needs repair
13071,non functional
13078,functional
13079,functional
13080,functional
13082,non functional
13085,functional
13087,functional
13089,functional
13095,functional
13096,functional
13097,functional
13100,functional
13109,functional
13112,functional needs repair
13113,functional
13115,functional needs repair
13116,functional
13119,functional
13123,functional
13125,non functional
13127,non functional
13128,non functional
13129,functional
13131,functional
13132,functional
13133,functional
13135,functional
13138,functional
13139,non functional
13140,functional
13142,functional
13144,functional
13145,functional
13146,non functional
13147,non functional
13148,functional needs repair
13151,functional
13152,non functional
13156,non functional
13159,functional
13160,functional
13162,functional
13163,functional
13166,non functional
13167,non functional
13171,non functional
13172,functional
13174,non functional
13175,functional
13177,functional
13183,functional
13184,functional
13186,functional
13187,functional
13188,non functional
13195,functional needs repair
13196,functional needs repair
13197,functional
13199,non functional
13201,functional
13203,non functional
13205,non functional
13207,functional
13210,non functional
13211,functional
13212,non functional
13213,functional
13214,functional
13215,functional needs repair
13216,functional
13221,non functional
13223,non functional
13224,functional
13226,non functional
13229,non functional
13232,functional
13233,non functional
13236,non functional
13238,functional
13239,functional
13240,functional
13244,non functional
13245,functional
13247,functional
13250,functional
13251,functional
13252,functional
13254,functional
13255,functional
13256,functional
13258,non functional
13259,functional
13260,non functional
13261,functional
13262,non functional
13264,non functional
13265,functional
13267,functional
13268,non functional
13269,functional
13272,functional
13273,functional
13277,functional
13282,functional
13283,functional
13286,functional
13289,non functional
13294,non functional
13297,functional
13298,non functional
13303,functional
13306,non functional
13310,functional
13315,functional
13316,functional
13323,non functional
13326,functional
13327,functional
13328,non functional
13329,functional needs repair
13331,non functional
13333,functional
13341,functional
13345,functional
13349,functional
13350,functional
13351,functional
13354,functional
13359,functional
13361,functional
13362,functional
13364,non functional
13366,functional
13368,non functional
13370,functional
13371,functional needs repair
13372,functional
13374,non functional
13376,functional
13377,functional
13383,functional
13385,functional
13386,functional
13391,functional
13392,non functional
13394,functional
13395,functional
13398,functional
13399,non functional
13402,functional
13406,functional
13408,functional
13411,functional
13413,functional
13416,functional
13418,functional
13420,functional
13421,functional
13422,functional
13424,functional
13426,functional
13427,functional
13428,functional
13429,non functional
13430,functional
13431,non functional
13433,functional
13435,functional needs repair
13440,non functional
13442,functional
13445,non functional
13446,non functional
